,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
安徽,1,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,3,4,4,4,3,3,4,2,3,3,6,6,3,2,3
北京,3,1,3,4,3,4,3,4,2,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,2,6,6,3,3,3
福建,3,3,1,4,3,3,4,3,3,3,4,3,3,4,3,3,4,4,4,4,3,3,4,3,3,3,6,6,4,3,3
甘肃,4,4,4,1,4,4,4,4,4,4,5,4,4,5,4,4,5,5,3,3,4,4,3,4,4,4,4,4,4,4,4
广东,3,4,2,5,1,3,5,3,4,3,4,3,3,4,3,3,4,5,5,5,3,4,4,3,4,4,6,6,5,3,4
广西,4,4,4,5,4,1,4,4,4,4,5,4,4,5,4,4,5,5,5,5,4,4,5,4,4,4,6,6,4,4,4
贵州,5,5,5,6,4,5,1,4,5,5,6,4,4,6,5,5,6,5,6,6,5,5,6,5,4,5,7,7,4,5,4
海南,4,5,4,7,3,4,7,1,5,4,8,4,4,8,4,4,8,8,7,7,4,5,6,4,4,5,8,8,7,4,4
河北,3,2,3,4,3,4,4,4,1,3,3,3,3,3,3,3,3,3,4,5,3,3,4,3,3,2,6,6,4,3,3
河南,3,3,3,4,3,4,4,3,3,1,4,3,3,4,3,3,4,4,4,4,3,3,4,3,4,3,6,6,4,3,3
黑龙江,4,3,4,4,4,5,5,4,3,3,1,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,6,6,5,4,4
湖北,3,3,3,4,3,3,4,3,3,3,4,1,2,4,3,3,4,4,4,4,3,3,4,3,3,3,6,6,4,3,3
湖南,3,3,3,4,3,3,4,3,3,3,4,2,1,4,3,3,4,4,4,4,3,3,4,3,3,3,6,6,4,3,3
吉林,4,3,4,4,4,5,5,4,3,3,3,4,4,1,4,4,3,4,4,5,4,3,4,4,4,3,6,6,5,4,4
江苏,2,3,3,4,3,4,3,3,3,3,3,3,3,3,1,3,3,4,4,4,3,3,4,2,3,3,6,6,3,2,3
江西,3,3,3,4,3,3,4,3,3,3,4,3,3,4,3,1,4,4,4,4,3,3,4,3,3,3,6,6,4,3,3
辽宁,4,3,4,4,4,5,5,4,3,3,3,4,4,3,4,4,1,4,4,5,4,3,4,4,4,3,6,6,5,4,4
内蒙古,4,3,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,1,4,5,4,3,4,4,4,3,6,6,5,4,4
宁夏,4,4,4,3,4,4,4,4,4,4,5,4,4,5,4,4,5,5,1,3,4,4,3,4,4,4,4,4,4,4,4
青海,4,4,4,3,4,4,5,4,4,4,5,4,4,5,4,4,5,5,3,1,4,4,3,4,4,4,4,4,5,4,4
山东,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,1,4,4,3,4,3,6,6,4,3,4
山西,3,3,3,4,3,5,5,4,3,3,3,3,3,3,3,3,3,3,4,4,3,1,4,3,4,3,6,6,5,3,4
陕西,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,1,4,4,3,4,4,4,4,4
上海,2,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,3,4,4,4,3,3,4,1,3,3,6,6,3,2,3
四川,3,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,4,4,4,4,3,3,4,3,1,3,4,6,4,3,2
天津,3,2,3,4,3,4,4,4,2,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,1,6,6,4,3,3
西藏,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6
新疆,6,6,6,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,1,5,6,6
云南,4,4,4,5,3,4,3,3,4,4,5,3,3,5,4,4,5,4,5,5,4,4,5,4,3,4,6,6,1,4,3
浙江,2,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,3,4,4,4,3,3,4,2,3,3,6,6,3,1,3
重庆,3,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,4,4,4,4,3,3,4,3,2,3,4,6,4,3,1
